Sample	Group	Station	Fraction	DNA	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q
Sp13.BD.MLB.SN.1.renamed	Sp.BD.MLB.SN	MLB	B	D	Sp	13	N	1	MLB	MLB	S	5
Sp13.BD.MLB.SN.2.renamed	Sp.BD.MLB.SN	MLB	B	D	Sp	13	N	2	MLB	MLB	S	5
Sp13.BD.MM110.DD.1.renamed	Sp.BD.110.DD	MM110	B	D	Sp	13	D	1	Off	MM	D	110
Sp13.BD.MM110.SD.1.renamed	Sp.BD.110.SD	MM110	B	D	Sp	13	D	1	Off	MM	S	5
Sp13.BD.MM110.SD.2.renamed	Sp.BD.110.SD	MM110	B	D	Sp	13	D	2	Off	MM	S	5
Sp13.BD.MM110.SN.1.renamed	Sp.BD.110.SN	MM110	B	D	Sp	13	N	1	Off	MM	S	5
Sp13.BD.MM110.SN.2.renamed	Sp.BD.110.SN	MM110	B	D	Sp	13	N	2	Off	MM	S	5
Sp13.BD.MM15.DD.1.renamed	Sp.BD.15.DD	MM15	B	D	Sp	13	D	1	Near	MM	D	10
Sp13.BD.MM15.SD.1.renamed	Sp.BD.15.SD	MM15	B	D	Sp	13	D	1	Near	MM	S	5
Sp13.BD.MM15.SN.1.renamed	Sp.BD.15.SN	MM15	B	D	Sp	13	N	1	Near	MM	S	5
Sp13.BD.MM15.SN.2.renamed	Sp.BD.15.SN	MM15	B	D	Sp	13	N	2	Near	MM	S	5
Sp13.BcD.MLB.SN.1	Sp.BcD.MLB.SN	MLB	B	cD	Sp	13	N	1	MLB	MLB	S	5
Sp13.BcD.MLB.SN.2	Sp.BcD.MLB.SN	MLB	B	cD	Sp	13	N	2	MLB	MLB	S	5
Sp13.BcD.MM110.DD.1	Sp.BcD.110.DD	MM110	B	cD	Sp	13	D	1	Off	MM	D	110
Sp13.BcD.MM110.DD.2	Sp.BcD.110.DD	MM110	B	cD	Sp	13	D	2	Off	MM	D	110
