Group	Station	Fraction	DNA	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q
Sp.BD.MLB.SN	MLB	B	D	Sp	13	N	1	MLB	MLB	S	5
Sp.BD.110.DD	MM110	B	D	Sp	13	D	1	Off	MM	D	110
Sp.BD.110.SD	MM110	B	D	Sp	13	D	1	Off	MM	S	5
Sp.BD.110.SN	MM110	B	D	Sp	13	N	1	Off	MM	S	5
Sp.BD.15.DD	MM15	B	D	Sp	13	D	1	Near	MM	D	10
Sp.BD.15.SD	MM15	B	D	Sp	13	D	1	Near	MM	S	5
Sp.BD.15.SN	MM15	B	D	Sp	13	N	1	Near	MM	S	5
Sp.BcD.MLB.SN	MLB	B	cD	Sp	13	N	1	MLB	MLB	S	5
Sp.BcD.110.DD	MM110	B	cD	Sp	13	D	1	Off	MM	D	110
Sp.BcD.110.SD	MM110	B	cD	Sp	13	D	1	Off	MM	S	5
Sp.BcD.110.SN	MM110	B	cD	Sp	13	N	1	Off	MM	S	5
Sp.BcD.15.DD	MM15	B	cD	Sp	13	D	1	Near	MM	D	10
Sp.BcD.15.SD	MM15	B	cD	Sp	13	D	1	Near	MM	S	5
Sp.BcD.15.SN	MM15	B	cD	Sp	13	N	1	Near	MM	S	5
Sp.ED.MLB.SN	MLB	E	D	Sp	13	N	1	MLB	MLB	S	5
Sp.ED.110.DD	MM110	E	D	Sp	13	D	2	Off	MM	D	110
Sp.ED.110.SD	MM110	E	D	Sp	13	D	1	Off	MM	S	5
Sp.ED.110.SN	MM110	E	D	Sp	13	N	1	Off	MM	S	5
Sp.ED.15.DD	MM15	E	D	Sp	13	D	1	Near	MM	D	10
Sp.ED.15.SD	MM15	E	D	Sp	13	D	1	Near	MM	S	5
Sp.ED.15.SN	MM15	E	D	Sp	13	N	2	Near	MM	S	5
Sp.EcD.MLB.SN	MLB	E	cD	Sp	13	N	1	MLB	MLB	S	5
Sp.EcD.110.DD	MM110	E	cD	Sp	13	D	1	Off	MM	D	110
Sp.EcD.110.SD	MM110	E	cD	Sp	13	D	1	Off	MM	S	5
Sp.EcD.110.SN	MM110	E	cD	Sp	13	N	1	Off	MM	S	5
Sp.EcD.15.DD	MM15	E	cD	Sp	13	D	1	Near	MM	D	10
Sp.EcD.15.SD	MM15	E	cD	Sp	13	D	1	Near	MM	S	5
Sp.EcD.15.SN	MM15	E	cD	Sp	13	N	1	Near	MM	S	5
Su.BD.MLB.DD	MLB	B	D	Su	13	D	1	MLB	MLB	D	8
Su.BD.MLB.SD	MLB	B	D	Su	13	D	1	MLB	MLB	S	1
Su.BD.110.DCMD	MM110	B	D	Su	13	D	1	Off	MM	M	36
Su.BD.110.DN	MM110	B	D	Su	13	N	1	Off	MM	D	110
Su.BD.110.SD	MM110	B	D	Su	13	D	1	Off	MM	S	5
Su.BD.110.SN	MM110	B	D	Su	13	N	1	Off	MM	S	5
Su.BD.15.DN	MM15	B	D	Su	13	N	1	Near	MM	D	15
Su.BD.15.SD	MM15	B	D	Su	13	D	1	Near	MM	S	5
Su.BD.15.SN	MM15	B	D	Su	13	N	1	Near	MM	S	5
