Sample	Group_cDvsD	Group_PAvsFL	Station	Fraction	DNA	DNA_short	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q
Sp.BD.MLB.SN	Sp.B.MLB.SN	Sp.D.MLB.SN	MLB	B	D		Sp	13	N	1	MLB	MLB	S	5
Sp.BD.110.DD	Sp.B.110.DD	Sp.D.110.DD	MM110	B	D		Sp	13	D	1	Off	MM	D	110
Sp.BD.110.SD	Sp.B.110.SD	Sp.D.110.SD	MM110	B	D		Sp	13	D	1	Off	MM	S	5
Sp.BD.110.SN	Sp.B.110.SN	Sp.D.110.SN	MM110	B	D		Sp	13	N	1	Off	MM	S	5
Sp.BD.15.DD	Sp.B.15.DD	Sp.D.15.DD	MM15	B	D		Sp	13	D	1	Near	MM	D	10
Sp.BD.15.SD	Sp.B.15.SD	Sp.D.15.SD	MM15	B	D		Sp	13	D	1	Near	MM	S	5
Sp.BD.15.SN	Sp.B.15.SN	Sp.D.15.SN	MM15	B	D		Sp	13	N	1	Near	MM	S	5
Sp.BcD.MLB.SN	Sp.B.MLB.SN	Sp.cD.MLB.SN	MLB	B	cD	c	Sp	13	N	1	MLB	MLB	S	5
Sp.BcD.110.DD	Sp.B.110.DD	Sp.cD.110.DD	MM110	B	cD	c	Sp	13	D	1	Off	MM	D	110
Sp.BcD.110.SD	Sp.B.110.SD	Sp.cD.110.SD	MM110	B	cD	c	Sp	13	D	1	Off	MM	S	5
Sp.BcD.110.SN	Sp.B.110.SN	Sp.cD.110.SN	MM110	B	cD	c	Sp	13	N	1	Off	MM	S	5
Sp.BcD.15.DD	Sp.B.15.DD	Sp.cD.15.DD	MM15	B	cD	c	Sp	13	D	1	Near	MM	D	10
Sp.BcD.15.SD	Sp.B.15.SD	Sp.cD.15.SD	MM15	B	cD	c	Sp	13	D	1	Near	MM	S	5
Sp.BcD.15.SN	Sp.B.15.SN	Sp.cD.15.SN	MM15	B	cD	c	Sp	13	N	1	Near	MM	S	5
Sp.ED.MLB.SN	Sp.E.MLB.SN	Sp.D.MLB.SN	MLB	E	D		Sp	13	N	1	MLB	MLB	S	5
Sp.ED.110.DD	Sp.E.110.DD	Sp.D.110.DD	MM110	E	D		Sp	13	D	2	Off	MM	D	110
Sp.ED.110.SD	Sp.E.110.SD	Sp.D.110.SD	MM110	E	D		Sp	13	D	1	Off	MM	S	5
Sp.ED.110.SN	Sp.E.110.SN	Sp.D.110.SN	MM110	E	D		Sp	13	N	1	Off	MM	S	5
Sp.ED.15.DD	Sp.E.15.DD	Sp.D.15.DD	MM15	E	D		Sp	13	D	1	Near	MM	D	10
Sp.ED.15.SD	Sp.E.15.SD	Sp.D.15.SD	MM15	E	D		Sp	13	D	1	Near	MM	S	5
Sp.ED.15.SN	Sp.E.15.SN	Sp.D.15.SN	MM15	E	D		Sp	13	N	2	Near	MM	S	5
Sp.EcD.MLB.SN	Sp.E.MLB.SN	Sp.cD.MLB.SN	MLB	E	cD	c	Sp	13	N	1	MLB	MLB	S	5
