	Domain	Phylum	Class	Order	Family	Genus
Otu000001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified
Otu000002	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000003	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Sediminibacterium
Otu000004	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter
Otu000005	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000006	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
Otu000007	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Haliscomenobacter
Otu000008	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified
Otu000009	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Otu000010	Bacteria	Cyanobacteria	Cyanobacteria	Family_II	Family_II	GpIIa
Otu000011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
Otu000012	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans
Otu000013	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000014	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Unclassified
Otu000015	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Unclassified
Otu000016	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Unclassified
Otu000017	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Cyclobacteriaceae	Algoriphagus
Otu000018	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalicibacterium
Otu000019	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Unclassified
Otu000020	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified
Otu000021	Bacteria	Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified
Otu000022	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus
Otu000023	Bacteria	Cyanobacteria	Cyanobacteria	Unclassified	Unclassified	Unclassified
Otu000024	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola
Otu000025	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Unclassified	Unclassified
Otu000026	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Cerasicoccus
Otu000027	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified
Otu000028	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unclassified
Otu000029	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified
Otu000030	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unclassified
Otu000031	Bacteria	Cyanobacteria	Cyanobacteria	Family_II	Family_II	GpIIa
Otu000032	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Haliscomenobacter
Otu000033	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified
Otu000034	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Otu000035	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia
Otu000036	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Unclassified
Otu000037	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu000038	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu000039	Bacteria	Cyanobacteria	Cyanobacteria	Family_XI	Family_XI	GpXI
Otu000040	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter
Otu000041	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Otu000042	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter
Otu000043	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Lishizhenia
Otu000044	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified
Otu000045	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas
Otu000046	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Otu000047	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Unclassified
Otu000048	Bacteria	Cyanobacteria	Cyanobacteria	Family_I	Family_I	GpI
Otu000049	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus
Otu000050	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus
Otu000051	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
Otu000052	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Unclassified
Otu000053	Bacteria	Cyanobacteria	Cyanobacteria	Family_I	Family_I	GpI
Otu000054	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified
Otu000055	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
Otu000056	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000057	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified
Otu000058	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified
Otu000059	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000060	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Otu000061	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_genera_incertae_sedis	Subdivision3_genera_incertae_sedis	Subdivision3_genera_incertae_sedis
Otu000062	Bacteria	Cyanobacteria	Cyanobacteria	Family_II	Family_II	GpIIa
Otu000063	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified
Otu000064	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000065	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea
Otu000066	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified
Otu000067	Bacteria	Cyanobacteria	Cyanobacteria	Family_II	Family_II	GpIIa
Otu000068	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Unclassified
Otu000069	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu000070	Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified	Unclassified	Unclassified
Otu000071	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Unclassified
Otu000072	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified
Otu000073	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Otu000074	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu000075	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000076	Bacteria	Cyanobacteria	Cyanobacteria	Family_I	Family_I	GpI
Otu000077	Bacteria	Verrucomicrobia	Unclassified	Unclassified	Unclassified	Unclassified
Otu000078	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified
Otu000079	Bacteria	Cyanobacteria	Cyanobacteria	Unclassified	Unclassified	Unclassified
Otu000080	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Unclassified
Otu000081	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu000082	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
Otu000083	Bacteria	Verrucomicrobia	Spartobacteria	Unclassified	Unclassified	Unclassified
Otu000084	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu000085	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified
Otu000086	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Stigmatella
Otu000087	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified
Otu000088	Bacteria	Verrucomicrobia	Unclassified	Unclassified	Unclassified	Unclassified
Otu000089	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000090	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified
Otu000091	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus
Otu000092	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Otu000093	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Otu000094	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Otu000095	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Albidiferax
Otu000096	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Otu000097	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified
Otu000098	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified
Otu000099	Bacteria	Cyanobacteria	Cyanobacteria	Family_II	Family_II	GpIIa
Otu000100	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified
Otu000101	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified
Otu000102	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified
Otu000103	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
Otu000104	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Ferruginibacter
Otu000105	Bacteria	Cyanobacteria	Cyanobacteria	Family_II	Family_II	GpIIa
Otu000106	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Otu000107	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Unclassified
Otu000108	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
Otu000109	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter
