 	row.names	Fa.BcD.110.DN	Fa.BcD.110.SD	Fa.BcD.110.SN	Fa.BcD.15.DN	Fa.BcD.15.SD	Fa.BcD.15.SN	Fa.BcD.MLB.DN	Fa.BcD.MLB.SN	Fa.EcD.110.DN	Fa.EcD.110.SD	Fa.EcD.110.SN	Fa.EcD.15.DN	Fa.EcD.15.SD	Fa.EcD.15.SN	Fa.EcD.MLB.DN	Fa.EcD.MLB.SN	Sp.BcD.110.DD	Sp.BcD.110.SD	Sp.BcD.110.SN	Sp.BcD.15.DD	Sp.BcD.15.SD	Sp.BcD.15.SN	Sp.BcD.MLB.SN	Sp.EcD.110.DD	Sp.EcD.110.SD	Sp.EcD.110.SN	Sp.EcD.15.DD	Sp.EcD.15.SD	Sp.EcD.15.SN	Sp.EcD.MLB.SN	Su.BcD.110.DCMD	Su.BcD.110.DN	Su.BcD.110.SD	Su.BcD.110.SN	Su.BcD.15.DN	Su.BcD.15.SD	Su.BcD.15.SN	Su.BcD.MLB.DD	Su.BcD.MLB.SD	Su.EcD.110.DCMD	Su.EcD.110.SD	Su.EcD.110.SN	Su.EcD.15.DN	Su.EcD.15.SD	Su.EcD.15.SN	Su.EcD.MLB.DD	Su.EcD.MLB.SD
1	Otu000001	0.003842066	0.51107023	0.48741812	0.56413880	0.38141253	0.35472933	-0.46381301	-0.4609269	-0.8930848	-1.59664431	-1.57257878	-0.83561318	-1.075767508	-1.26052755	-1.25779776	-1.5431423	0.57227724	0.52939331	0.56863763	0.22927151	0.14458562	0.25462567	-0.11315896	0.07639582	0.02006562	0.16339400	-0.72017594	-0.59111473	-0.42461376	-0.74572352	1.9736887	0.62243721	0.87640367	0.8761105	0.1859729	0.50991180	0.61750587	0.7396103	0.19094278	-0.75097245	-1.55458885	-1.000000000	-0.74723393	-1.53533173	-0.86411657	-0.85561009	-0.85505166
2	Otu000002	-1.850499414	-1.44272923	-1.06997122	-1.06768681	-1.10754470	-1.60955986	-1.93545975	-2.2694607	-2.7004397	-3.72792045	-3.96962635	-3.41503750	-3.121015401	-3.84130225	-3.81875969	-3.7162070	-1.61947203	-1.26244204	-1.63357244	-1.79208817	-2.13632147	-1.76553475	-1.84799691	-1.73696559	-3.35755200	-2.80735492	-2.64045761	-1.98089118	-2.29176612	-1.89308480	-1.3550950	-1.71101600	-1.67807191	-1.6537152	-1.6043800	-1.18951281	-1.42869394	-2.0771945	-1.02250740	-2.47130572	-3.70043972	-3.502500341	-2.95419631	-3.52356196	-2.78135971	-3.43295941	-2.98868469
3	Otu000003	-0.872620694	0.22521294	-0.04227980	0.12053367	-0.28667725	-0.16139414	-1.22050036	-1.4059924	-0.5849625	-2.41503750	-2.35363695	-1.83007500	-2.082462160	-2.66296501	-2.19264508	-2.1154772	0.63404728	0.34713343	0.30485458	0.10638934	-0.13703671	-0.10256973	-0.41937644	-1.16227143	-1.06140054	-0.84327450	-1.69267632	-1.32757466	-2.29278175	-1.32192809	-1.1940871	-1.07214979	-0.19264508	0.2245603	-0.5286245	0.04699748	0.23861093	0.4978639	-0.80870135	-2.50250034	-2.90689060	-2.415037499	-1.61470984	-2.58496250	-1.40053793	-2.00000000	-2.80735492
4	Otu000004	-0.707819249	-0.16897617	-0.20645088	0.01317539	-0.08092000	-0.12614103	-1.09953567	-1.1643868	0.0000000	-2.00000000	-1.87446912	-1.45943162	-1.584962501	-1.73696559	-1.94753258	-2.1699250	0.53192774	0.13750352	0.04756568	-0.09557766	-0.30485458	-0.22908707	0.46988598	-0.58496250	-0.16992500	0.05889369	-0.21215324	-0.11321061	0.04544297	-0.30742853	-1.1085245	-0.17246720	-0.37280926	-0.2560984	-0.4464017	-0.42799315	-0.11289406	0.5346574	0.19877986	-0.58496250	-2.32192809	-1.874469118	-1.00000000	-1.80735492	-1.16992500	-0.67807191	-1.24792751
5	Otu000005	-2.215728691	-1.32698132	-1.47248777	-0.86899399	-1.13606155	-1.68858513	-2.54189378	-2.8142086	-2.0000000	-3.32192809	-3.70043972	-2.48542683	-2.963474124	-4.20945337	-3.28540222	-3.2094534	-1.73251969	-1.37255417	-1.53973325	-1.77506538	-2.22392966	-1.76553475	-1.09953567	-2.00000000	-1.58496250	-1.87446912	-2.84327450	-2.68650053	-2.35648532	-2.09515723	-1.7354775	-1.49683159	-1.82265406	-1.6187395	-1.6368014	-1.14652040	-1.22647360	-3.9263868	-1.57281342	-2.22239242	-3.05889369	-3.321928095	-2.82781902	-3.38466385	-3.34395440	-3.29278175	-3.72973402
6	Otu000006	2.584962501	2.00000000	1.32192809	1.58496250	2.00000000	1.73696559	2.00000000	1.5849625	0.9259994	1.02466205	0.91253716	0.86673347	1.133266531	0.39733550	3.00000000	1.4150375	1.58496250	1.00000000	1.58496250	1.73696559	3.16992500	0.87446912	1.13750352	0.97085365	2.70043972	1.43609911	1.98351188	1.95935802	2.32192809	2.18220333	1.4594316	1.92599942	2.95842090	2.6147098	2.2479275	2.97400479	2.58496250	0.4150375	1.73696559	1.78276928	0.80128041	0.502724240	1.31381545	1.13033955	0.65157410	1.14755719	1.83794324
7	Otu000007	0.000000000	1.85982234	1.74146699	1.25779776	1.69187770	1.84434913	1.58496250	0.5849625	0.3219281	0.06608919	-0.40525648	0.94833788	0.102634912	0.14533936	1.44057259	0.3625701	2.00000000	1.58496250	0.00000000	2.43295941	2.64385619	1.68805599	1.93859946	2.36118753	1.73696559	1.03242148	1.97982212	2.22588141	2.91965789	2.57415575	1.2223924	1.00000000	2.12515513	2.0979138	1.6780719	2.37412431	2.06300980	0.5849625	0.26303441	0.91753784	0.37229597	-0.082254683	0.34617564	0.57690273	0.06599756	1.08746284	0.68589141
8	Otu000008	0.550197083	1.25375659	1.30256277	1.19264508	1.03242148	1.03102690	-0.13124453	0.1255309	0.1520031	-0.16573720	0.09225851	0.16772745	0.009715155	0.06817150	-0.32192809	-0.6780719	0.94753258	0.71926359	0.80206062	0.77960993	0.66742466	1.07476777	0.72869798	1.08629985	0.97924144	1.09953567	-0.24100810	-0.18322182	0.33985000	0.46190410	2.7369656	1.02856915	0.97400479	1.3514724	0.7369656	0.86875547	1.00000000	1.4405726	0.78427131	0.22239242	-1.42371725	-0.952552838	0.15200309	-1.34395440	-0.97862635	0.15200309	0.42884330
9	Otu000009	-1.976916387	-1.66695587	-1.34933425	-1.79862011	-1.93536253	-1.83187724	-2.33832253	-2.7188182	-1.5849625	-3.45943162	-3.70043972	-2.32192809	-2.807354922	-3.70043972	-4.27301849	-4.3219281	-1.54149447	-1.43592487	-1.13345344	-1.94555222	-2.90397311	-2.55799545	-2.45943162	-3.16992500	-3.45943162	-2.73696559	-1.84799691	-1.37851162	-2.78135971	0.00000000	-1.7513209	-2.14066041	-2.23225857	-1.5073635	-1.5428984	-1.70996249	-2.07584376	-0.6828098	-1.14135585	-2.11547722	-4.58496250	-3.584962501	-3.58496250	-4.00000000	-2.80735492	-2.45943162	-3.04439412
10	Otu000010	2.369233810	1.51705844	1.29726604	2.05528244	2.08488890	1.94753258	2.90689060	3.6438562	0.5276845	0.86183756	0.65732110	1.12775555	0.864186145	0.91908000	0.10893437	-0.2748598	1.58496250	3.00000000	3.58496250	1.58496250	1.58496250	1.58496250	1.00000000	3.00000000	3.13750352	3.41503750	0.58496250	2.70043972	1.32192809	2.00000000	1.8356319	2.80735492	1.83053971	1.4764380	3.2553526	1.50119414	1.83744699	0.5849625	1.64045761	1.78997982	-0.79255792	-1.015596855	1.53397857	-0.21003521	-0.63584367	0.85392174	0.50250034
11	Otu000011	0.000000000	1.14684139	1.66985140	1.16992500	1.37851162	1.19793938	1.16992500	1.4150375	-0.5849625	-0.22239242	-0.28950662	0.16046467	-0.353636955	0.08246216	1.41503750	0.5849625	2.00000000	1.00000000	0.00000000	0.90689060	1.78849589	1.30666134	1.95174483	0.43609911	0.67807191	1.45943162	2.11042399	1.53605290	1.85561009	3.03342300	0.8300750	0.22239242	1.62560449	1.8834860	1.0809200	1.36923381	1.57288967	-0.6520767	1.07038933	-0.03747471	-0.73696559	-0.144389909	0.53249508	-0.42321143	-0.55748176	0.96962635	1.96219797
12	Otu000012	1.222392421	0.00000000	1.00000000	0.73696559	0.41503750	0.58496250	-0.58496250	-0.2630344	-0.0931094	0.00000000	0.24100810	0.65207670	0.893084796	0.77760758	-0.24100810	-0.8073549	0.89308480	0.80735492	0.41503750	1.07972719	0.66742466	0.74781298	1.07038933	1.22913400	0.68280982	0.83227255	-0.07400058	-0.23297717	0.45943162	0.39909596	2.4594316	1.80735492	0.58496250	2.0000000	1.3219281	0.78849589	1.00000000	1.0703893	-0.09310940	0.20645088	-1.32192809	0.000000000	0.94110631	-0.62803122	0.12553088	-0.18057225	-0.83007500
13	Otu000013	-2.882643049	-1.91938154	-1.70626880	-1.35845397	-1.49880586	-1.93161303	-3.30875271	-3.2954559	-1.0000000	-3.16992500	-2.80735492	-2.45943162	-3.700439718	-2.58496250	-3.24792751	-2.2223924	-2.39045948	-1.85414913	-1.98272201	-1.84212034	-2.37083770	-1.95300252	-1.00000000	-2.00000000	-2.90689060	-3.00000000	-2.22239242	-3.37851162	-2.20435850	-2.05062607	-2.3824696	-2.14684139	-1.80735492	-1.8194278	-2.2927817	-1.70940987	-1.76553475	-4.4014484	-1.72582504	-1.80735492	-2.00000000	-1.584962501	-3.32192809	-3.16992500	-2.73696559	-3.24792751	-3.11547722
